round(Avg(Temp))	ChangeDate
35	2018-10-03 04:37:01.209663
35	2018-10-03 04:38:00.710794
35	2018-10-03 04:39:00.194103
35	2018-10-03 04:40:01.430838
35	2018-10-03 04:41:00.934855
35	2018-10-03 04:42:00.434301
35	2018-10-03 04:43:01.695147
35	2018-10-03 04:44:01.172205
35	2018-10-03 04:45:00.690423
35	2018-10-03 04:46:00.129546
35	2018-10-03 04:47:01.390492
35	2018-10-03 04:48:00.894587
35	2018-10-03 04:49:00.371822
35	2018-10-03 04:50:01.632711
35	2018-10-03 04:51:01.112405
35	2018-10-03 04:52:00.591830
35	2018-10-03 04:53:00.073105
35	2018-10-03 04:54:01.313784
35	2018-10-03 04:55:00.813130
35	2018-10-03 04:56:00.290131
35	2018-10-03 04:57:01.532824
35	2018-10-03 04:58:01.052240
35	2018-10-03 04:59:00.531389
35	2018-10-03 05:00:00.031628
35	2018-10-03 05:01:01.271516
35	2018-10-03 05:02:00.730399
35	2018-10-03 05:03:00.235201
35	2018-10-03 05:04:01.473332
35	2018-10-03 05:05:00.951484
35	2018-10-03 05:06:00.450770
35	2018-10-03 05:07:01.692442
35	2018-10-03 05:08:01.210672
35	2018-10-03 05:09:00.730117
35	2018-10-03 05:10:00.151058
35	2018-10-03 05:11:01.396835
35	2018-10-03 05:12:00.898703
35	2018-10-03 05:13:00.379187
35	2018-10-03 05:14:01.592894
35	2018-10-03 05:15:01.090118
35	2018-10-03 05:16:00.591227
35	2018-10-03 05:17:00.071480
35	2018-10-03 05:18:01.329226
35	2018-10-03 05:19:00.811683
35	2018-10-03 05:20:00.293528
35	2018-10-03 05:21:01.554173
35	2018-10-03 05:22:01.031633
